"country","league","season","start_time","start_time_unix","score","team1","team2","bookmaker","odd_type","odd","odd_time","odd_time_unix","retrieved_from_url"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","2","5.0","18 Jun 10:45 2018","1529318700","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","2","5.6","18 Jun 09:39 2018","1529314740","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","2","5.0","18 Jun 09:27 2018","1529314020","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","2","4.9","18 Jun 09:21 2018","1529313660","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","2","4.5","15 Jun 09:46 2018","1529055960","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","WilliamHill.it","1","1.62","19 Jun 00:02 2018","1529366520","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","WilliamHill.it","1","1.57","19 Jun 00:00 2018","1529366400","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","WilliamHill.it","1","1.6","18 Jun 21:03 2018","1529355780","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","WilliamHill.it","1","1.57","18 Jun 20:36 2018","1529354160","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","WilliamHill.it","1","1.62","18 Jun 20:16 2018","1529352960","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","WilliamHill.it","1","1.57","18 Jun 20:08 2018","1529352480","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","WilliamHill.it","1","1.65","18 Jun 20:02 2018","1529352120","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","WilliamHill.it","1","1.57","18 Jun 14:21 2018","1529331660","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
